id,Names,ScreenNames,Tweets,Labels
804484254180720641,TLC,Joy4youandme,@BestBuy #12DaysofDell #Sweepstakes #Windows #BestBuy 🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻🎅🏻
804483528415027200,Myong _Wisley,Myong_Wisley,#Music #Movie CHRISTMAS 6 CD set KENNY CHESNEY Luke Bryan #CarrieUnderwood KELLIE PICKLER 2012… https://t.co/BlebkjtIGK
804482366953558016,Johnny Depp Fans,JohnnyDeppFans7,#Entertainment CHARLIE AND THE CHOCOLATE FACTORY #JohnnyDepp WS (2005) DVD BRAND NEW SEALED https://t.co/gAchlDTx7K… https://t.co/cQWDOUJLd1
804481044300775424,cat,goodnessno,Did lots of shopping today. Santa sleigh will be filled with toys and electronics from #Target  and #BestBuy. Not missing #Amazon
804478908884086784,Ron Chiu,ronkchiu,So I finally got my preorder of #FinalFantasyXVDeluxeEdition from #BestBuy. But this box... https://t.co/GHWLQd4udl
804477985004744704,Johnny Depp Fans,JohnnyDeppFans7,#Entertainment #JohnnyDepp #Autograph 4x6 Photo 8 Pirates Weimaraner Rescue Charity https://t.co/1qqjakQvm8… https://t.co/aIpKo9BAI2
804472698222977024,Johnny Depp Fans,JohnnyDeppFans7,"#Entertainment Alice Through the Looking Glass (BD + DVD + Digital HD) [Blu-ray] #JohnnyDepp, https://t.co/Ukk6aGa8Yy #Auction #BestBuy"
804472613003284480,Matt Mungle,themungle,One trip to #BestBuy is all it takes to remind me why I shop at home on #amazon. Might cover this on the next radio show.
804472496355504128,a.k.a.CRUSH,_akaCRUSH,#PineappleExpress (2008) #BestBuy Exclusive #Bluray #Steelbook part of the BOGO (buy 1 get 1… https://t.co/wZuke2qX1L
804472310296100864,a.k.a.CRUSH,_akaCRUSH,#BoyzNTheHood (1991) #BestBuy Exclusive #Bluray #Steelbook part of the BOGO (buy 1 get 1 free)… https://t.co/cpvdYMXgPH
